Date,Total
2026-01-08,1361199.87
2026-01-10,253891.0
2026-01-11,146240.0
2026-01-12,105965.0
2026-01-13,309995.0
2026-01-14,268685.0
2026-01-15,441055.0
2026-01-17,146516.0
2026-01-18,110590.0
2026-01-19,445555.0
2026-01-20,70420.0
2026-01-21,174520.0
2026-01-22,102670.0
2026-01-24,1701727.0
2026-01-25,195860.0
2026-01-26,130047.0
2026-01-27,174442.0
2026-01-28,355330.0
2026-01-29,652564.0
2026-01-31,219002.0
2026-02-01,128084.0
2026-02-02,245623.0
2026-02-03,117970.0
2026-02-04,172189.0
2026-02-05,217828.0
2026-02-07,17457.0
